ced_code,ced_name
101,Banks
102,Barton
103,Bennelong
104,Berowra
105,Blaxland
106,Bradfield
107,Calare
108,Chifley
109,Cook
110,Cowper
111,Cunningham
112,Dobell
113,Eden-Monaro
114,Farrer
115,Fowler
116,Gilmore
117,Grayndler
118,Greenway
119,Hughes
120,Hume
121,Hunter
122,Kingsford Smith
123,Lindsay
124,Lyne
125,Macarthur
126,Mackellar
127,Macquarie
128,McMahon
129,Mitchell
130,New England
131,Newcastle
132,North Sydney
133,Page
134,Parkes
135,Parramatta
136,Paterson
137,Reid
138,Richmond
139,Riverina
140,Robertson
141,Shortland
142,Sydney
143,Warringah
144,Watson
145,Wentworth
146,Werriwa
147,Whitlam
201,Aston
202,Ballarat
203,Batman
204,Bendigo
205,Bruce
206,Calwell
207,Casey
208,Chisholm
209,Corangamite
210,Corio
211,Deakin
212,Dunkley
213,Flinders
214,Gellibrand
215,Gippsland
216,Goldstein
217,Gorton
218,Higgins
219,Holt
220,Hotham
221,Indi
222,Isaacs
223,Jagajaga
224,Kooyong
225,La Trobe
226,Lalor
227,Mallee
228,Maribyrnong
229,McEwen
230,McMillan
231,Melbourne
232,Melbourne Ports
233,Menzies
234,Murray
235,Scullin
236,Wannon
237,Wills
301,Blair
302,Bonner
303,Bowman
304,Brisbane
305,Capricornia
306,Dawson
307,Dickson
308,Fadden
309,Fairfax
310,Fisher
311,Flynn
312,Forde
313,Griffith
314,Groom
315,Herbert
316,Hinkler
317,Kennedy
318,Leichhardt
319,Lilley
320,Longman
321,Maranoa
322,McPherson
323,Moncrieff
324,Moreton
325,Oxley
326,Petrie
327,Rankin
328,Ryan
329,Wide Bay
330,Wright
401,Adelaide
402,Barker
403,Boothby
404,Grey
405,Hindmarsh
406,Kingston
407,Makin
408,Mayo
409,Port Adelaide
410,Sturt
411,Wakefield
501,Brand
502,Burt
503,Canning
504,Cowan
505,Curtin
506,Durack
507,Forrest
508,Fremantle
509,Hasluck
510,Moore
511,O'Connor
512,Pearce
513,Perth
514,Stirling
515,Swan
516,Tangney
601,Bass
602,Braddon
603,Denison
604,Franklin
605,Lyons
701,Lingiari
702,Solomon
801,Canberra
802,Fenner
